City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bluff,-46.6,168.33,59.0,79,14,18.01,NZ,1605495145
maceio,-9.67,-35.74,75.2,94,40,2.24,BR,1605495145
victoria,22.29,114.16,81.0,67,5,14.0,HK,1605495145
castro,-24.79,-50.01,62.55,95,95,3.02,BR,1605495145
waddan,29.16,16.14,60.76,53,98,6.44,LY,1605495146
coquimbo,-29.95,-71.34,57.2,76,59,4.7,CL,1605495146
bethel,41.37,-73.41,54.0,81,90,14.99,US,1605495146
sao filipe,14.9,-24.5,79.36,62,68,6.69,CV,1605495146
colorado springs,38.83,-104.82,53.6,28,1,9.17,US,1605495023
ornskoldsvik,63.29,18.72,44.6,100,90,16.11,SE,1605495146
aswan,24.09,32.91,60.26,55,0,10.76,EG,1605495146
xuddur,4.12,43.89,69.53,92,88,14.23,SO,1605495146
auki,-8.77,160.7,80.58,82,100,7.07,SB,1605495146
geraldton,-28.77,114.6,78.8,27,0,9.17,AU,1605495146
tayu,-6.54,111.05,89.17,57,4,9.31,ID,1605495146
terryville,40.91,-73.07,61.0,87,90,40.26,US,1605495147
tambacounda,13.75,-13.76,68.0,49,0,7.2,SN,1605495147
harper,4.38,-7.72,78.31,86,7,8.75,LR,1605495147
temple,31.1,-97.34,52.0,37,1,4.7,US,1605494928
ancud,-41.87,-73.82,53.01,81,90,2.24,CL,1605495147
mozarlandia,-14.74,-50.57,74.03,75,84,2.35,BR,1605495147
finnsnes,69.23,17.98,37.99,83,100,14.99,NO,1605495147
saskylakh,71.92,114.08,3.51,93,98,7.96,RU,1605495147
sangar,63.92,127.47,-6.25,91,100,8.14,RU,1605495147
dikson,73.51,80.55,25.75,98,100,17.63,RU,1605495147
point fortin,10.18,-61.68,77.0,87,3,5.99,TT,1605495148
novovasylivka,46.83,35.75,31.62,96,0,7.16,UA,1605495148
basco,20.45,121.97,80.01,84,10,22.66,PH,1605495148
pasighat,28.07,95.33,75.88,35,0,0.96,IN,1605495148
paamiut,61.99,-49.67,24.85,76,17,12.62,GL,1605495148
khatanga,71.97,102.5,-3.39,92,94,10.92,RU,1605495148
port elizabeth,-33.92,25.57,62.6,88,90,10.29,ZA,1605495148
farah,32.5,62.5,37.44,64,0,0.85,AF,1605495149
srednekolymsk,67.45,153.68,-11.88,90,100,8.95,RU,1605495149
hilo,19.73,-155.09,78.8,65,1,2.21,US,1605494961
marzuq,14.4,46.47,54.54,53,0,0.29,YE,1605495149
esperance,-33.87,121.9,69.8,46,0,6.93,AU,1605494973
hirara,24.8,125.28,78.8,78,75,13.87,JP,1605495149
ulaanbaatar,47.91,106.88,33.8,50,75,2.24,MN,1605495149
ilulissat,69.22,-51.1,15.8,28,75,18.34,GL,1605495149
kavaratti,10.57,72.64,83.77,76,66,7.54,IN,1605495149
macherla,16.48,79.43,75.88,81,99,8.23,IN,1605495149
luena,-11.78,19.92,60.62,98,73,3.04,AO,1605495149
kodiak,57.79,-152.41,35.6,59,1,16.11,US,1605495149
ranot,7.78,100.32,83.73,73,99,12.33,TH,1605495150
narsaq,60.92,-46.05,12.2,61,0,3.36,GL,1605495150
dingle,11.0,122.67,86.04,74,31,11.48,PH,1605495150
mildura,-34.2,142.15,77.0,23,0,13.87,AU,1605495150
tilichiki,60.47,166.1,26.31,100,100,8.08,RU,1605495150
ust-tsilma,65.44,52.15,28.35,97,85,6.64,RU,1605495150
vila,42.03,-8.16,50.0,96,100,1.16,PT,1605495150
meulaboh,4.14,96.13,82.22,76,94,1.77,ID,1605495151
kruisfontein,-34.0,24.73,61.0,90,92,1.01,ZA,1605495151
lander,42.83,-108.73,39.2,44,1,8.05,US,1605495151
husavik,66.04,-17.34,33.8,74,90,3.36,IS,1605495151
poum,-20.23,164.02,77.76,82,44,9.64,NC,1605495151
kamyshevatskaya,46.41,37.96,42.15,84,48,9.93,RU,1605495151
smithers,54.78,-127.17,30.2,100,90,2.24,CA,1605495151
tevaitoa,-16.78,-151.5,81.18,76,100,9.28,PF,1605495151
biskamzha,53.45,89.53,18.5,94,100,3.36,RU,1605495151
inuvik,68.35,-133.72,14.0,78,100,11.41,CA,1605495152
tiznit,29.58,-9.5,69.4,28,44,4.61,MA,1605495152
linhares,-19.39,-40.07,73.38,95,99,3.24,BR,1605495128
nouadhibou,20.93,-17.03,73.4,46,100,12.75,MR,1605495152
pangnirtung,66.15,-65.71,14.81,90,95,3.65,CA,1605495152
vila velha,-20.33,-40.29,71.6,94,0,1.12,BR,1605494952
benemerito de las americas,16.52,-90.64,71.82,97,0,2.08,MX,1605495152
trinidad,-14.83,-64.9,78.89,75,61,4.21,BO,1605495152
liverpool,53.41,-2.98,53.6,81,94,21.92,GB,1605494954
puerto boyaca,5.98,-74.59,74.03,95,100,2.01,CO,1605495152
koundara,12.48,-13.3,71.87,34,0,1.97,GN,1605495152
vestmannaeyjar,63.44,-20.27,39.81,71,100,5.7,IS,1605495152
maba,24.68,113.6,75.27,71,72,2.53,CN,1605495153
miranda,3.25,-76.23,73.4,73,40,9.17,CO,1605495153
portland,45.52,-122.68,48.99,92,100,1.01,US,1605494899
chaohu,31.6,117.87,63.0,77,91,11.18,CN,1605495153
osmena,10.52,119.93,83.35,80,65,15.5,PH,1605495153
fort nelson,58.81,-122.7,8.6,84,90,4.7,CA,1605495153
kitimat,54.05,-128.65,36.0,94,100,1.01,CA,1605495069
souillac,-20.52,57.52,71.6,60,40,8.05,MU,1605495153
cabo san lucas,22.89,-109.91,73.99,64,5,3.36,MX,1605494871
parichha,25.52,78.75,68.09,74,100,12.12,IN,1605495154
zavallya,48.21,30.02,43.9,72,99,4.47,UA,1605495154
eureka,40.8,-124.16,60.01,100,90,8.68,US,1605495040
goderich,43.75,-81.72,41.0,78,100,31.09,CA,1605495154
antalaha,-14.9,50.28,72.27,80,4,8.34,MG,1605495154
henties bay,-22.12,14.28,57.0,89,40,4.32,NA,1605495154
mabaruma,8.2,-59.78,77.63,88,100,4.92,GY,1605495154
sola,-13.88,167.55,80.98,82,95,18.57,VU,1605495154
santa rosalia,27.32,-112.28,65.14,59,0,7.83,MX,1605495155
manokwari,-0.87,134.08,82.58,79,91,11.01,ID,1605495155
huarmey,-10.07,-78.15,63.46,86,95,8.61,PE,1605495070
tasiilaq,65.61,-37.64,15.26,92,100,2.98,GL,1605495155
bhainsa,26.95,76.9,68.79,79,9,7.43,IN,1605495155
lagoa,39.05,-27.98,64.49,85,8,13.02,PT,1605495155
fukue,32.69,128.84,69.8,83,75,9.17,JP,1605495155
kapoeta,4.77,33.59,74.43,73,10,4.68,SS,1605495155
port hardy,50.7,-127.42,46.4,100,40,6.93,CA,1605495155
cadereyta,25.58,-99.98,71.6,37,75,4.7,MX,1605495155
kaeo,-35.1,173.78,63.59,80,80,6.46,NZ,1605495155
qaanaaq,77.48,-69.36,2.25,81,100,11.77,GL,1605495156
bosaso,11.28,49.18,73.04,75,9,4.92,SO,1605495156
san patricio,28.02,-97.52,69.8,26,40,12.75,US,1605495156
torbay,47.67,-52.73,34.0,88,90,11.41,CA,1605495156
rundu,-17.93,19.77,67.32,85,79,4.29,NA,1605495156
padang,-0.95,100.35,85.14,68,55,4.07,ID,1605495156
ponta pora,-22.54,-55.73,66.99,99,48,6.8,BR,1605495156
norman wells,65.28,-126.83,1.4,84,90,2.24,CA,1605495156
baraboo,43.47,-89.74,34.0,74,90,16.11,US,1605495156
kunya,12.22,8.53,64.4,63,36,4.7,NG,1605495156
gornyy,55.12,83.91,20.86,100,46,1.28,RU,1605495156
clyde river,70.47,-68.59,12.2,66,90,16.11,CA,1605495157
rapid valley,44.06,-103.15,37.99,58,1,4.7,US,1605495157
sinnamary,5.38,-52.95,78.84,88,4,9.01,GF,1605495157
kungurtug,50.6,97.52,26.62,93,100,1.77,RU,1605495157
salinopolis,-0.61,-47.36,81.34,79,100,10.98,BR,1605495136
sao jose dos pinhais,-25.53,-49.21,64.99,93,20,3.36,BR,1605495157
inverell,-29.78,151.12,96.01,28,0,5.99,AU,1605495157
sundumbili,-29.13,31.4,66.2,93,20,4.7,ZA,1605495157
pljevlja,43.33,19.33,46.4,81,0,10.29,ME,1605495157
oum hadjer,13.3,19.7,69.04,34,0,9.19,TD,1605495047
dasoguz,41.84,59.97,21.2,67,0,9.17,TM,1605495158
talnakh,69.49,88.4,8.6,84,75,6.71,RU,1605495158
sonqor,34.78,47.6,37.4,74,40,2.24,IR,1605494886
cherskiy,68.75,161.3,1.99,93,100,6.76,RU,1605495158
crestview,30.76,-86.57,68.0,59,1,8.66,US,1605495051
tarakan,3.3,117.63,82.8,73,11,1.7,ID,1605495158
sitka,57.05,-135.33,32.0,89,40,4.7,US,1605495158
arraial do cabo,-22.97,-42.03,73.63,94,37,11.3,BR,1605495158
morant bay,17.88,-76.41,80.6,78,20,9.17,JM,1605495158
martapura,-3.42,114.85,87.8,66,99,5.82,ID,1605495158
tres arroyos,-38.37,-60.28,46.27,66,0,8.25,AR,1605495159
roma,43.21,-75.46,46.0,87,90,9.75,US,1605495159
walvis bay,-22.96,14.51,57.0,87,1,11.41,NA,1605495159
manicore,-5.81,-61.3,75.69,96,66,2.51,BR,1605495159
bonthe,7.53,-12.51,78.69,80,0,3.87,SL,1605495159
alyangula,-13.85,136.42,93.2,56,40,11.41,AU,1605495159
abu dhabi,24.47,54.37,71.6,78,0,2.24,AE,1605494900
sotnikovo,51.88,107.48,21.2,67,40,2.24,RU,1605495159
tecoanapa,16.52,-98.75,80.1,81,14,4.52,MX,1605495159
bundaberg,-24.85,152.35,86.0,48,40,12.75,AU,1605494877
hasaki,35.73,140.83,72.0,59,20,3.36,JP,1605495019
buala,-8.14,159.59,85.98,70,90,7.96,SB,1605495160
manjacaze,-24.71,33.88,62.47,96,1,0.72,MZ,1605495160
broken hill,-31.95,141.43,75.2,25,97,17.22,AU,1605495160
prince george,53.92,-122.75,35.6,80,90,13.87,CA,1605495102
roseto degli abruzzi,42.67,14.02,48.99,100,0,3.36,IT,1605495160
toora-khem,52.47,96.11,21.81,88,100,1.07,RU,1605495160
quatre cocos,-20.21,57.76,73.0,60,40,8.05,MU,1605495160
haines junction,60.75,-137.51,17.6,67,81,8.05,CA,1605495160
voyinka,45.87,33.99,37.36,79,10,4.47,UA,1605495160
kattivakkam,13.22,80.32,80.6,94,75,2.24,IN,1605495161
port-gentil,-0.72,8.78,79.41,84,100,10.94,GA,1605495161
northam,51.03,-4.22,52.0,81,95,10.0,GB,1605495161
okhotsk,59.38,143.3,7.99,87,9,17.98,RU,1605495161
pasni,25.26,63.47,65.91,35,0,20.83,PK,1605495161
byron bay,-28.65,153.62,90.0,74,3,17.22,AU,1605494894
mbala,-8.84,31.37,60.57,92,100,3.4,ZM,1605495161
pisco,-13.7,-76.22,64.4,82,0,16.11,PE,1605495161
keighley,53.87,-1.91,53.01,90,84,10.0,GB,1605495161
camacha,33.08,-16.33,69.8,94,75,16.11,PT,1605495161
yantarnyy,54.87,19.94,48.2,87,89,8.95,RU,1605495162
cravo norte,6.3,-70.2,78.98,80,59,5.48,CO,1605495162
la libertad,-2.23,-80.9,68.49,84,100,11.48,EC,1605495162
quelimane,-17.88,36.89,66.2,88,20,2.8,MZ,1605495162
lompoc,34.64,-120.46,64.4,62,1,3.36,US,1605495162
ca mau,9.18,105.15,86.13,68,53,11.56,VN,1605495162
moerai,-22.43,-151.33,78.24,77,14,8.03,PF,1605495162
cilegon,-6.02,106.05,89.6,55,40,11.41,ID,1605495162
artyom,40.47,50.33,53.6,93,75,6.93,AZ,1605495163
ratnagiri,16.98,73.3,80.46,63,100,6.58,IN,1605495163
grindavik,63.84,-22.43,37.4,69,90,11.41,IS,1605495163
sri aman,1.24,111.46,82.4,78,20,2.24,MY,1605495163
verkhoyansk,67.54,133.38,-16.06,86,90,1.48,RU,1605495164
filadelfia,39.95,-75.16,55.4,66,90,19.46,US,1605495034
vernon,50.26,-119.27,39.2,60,0,3.36,CA,1605495164
malanje,-9.54,16.34,63.68,98,72,4.83,AO,1605495164
san cristobal,7.77,-72.22,66.79,92,92,3.0,VE,1605495164
najran,17.49,44.13,57.2,41,0,1.34,SA,1605495164
thap than,15.46,99.89,80.94,71,0,4.36,TH,1605495164
sao joao da barra,-21.64,-41.05,73.31,94,25,1.03,BR,1605495165
rockhampton,-23.38,150.5,91.4,43,40,8.05,AU,1605495165
wanaka,-44.7,169.15,67.69,40,28,6.98,NZ,1605495165
kastamonu,41.5,33.67,42.58,84,95,0.31,TR,1605495165
orlik,52.52,99.83,21.96,86,100,1.16,RU,1605495165
trelew,-43.25,-65.31,65.55,27,33,4.25,AR,1605495165
sena madureira,-9.07,-68.66,76.75,81,100,2.35,BR,1605495060
saint-philippe,-21.36,55.77,69.8,52,40,8.05,RE,1605495165
katherine,-14.47,132.27,100.4,24,36,10.29,AU,1605495165
christchurch,-43.53,172.63,66.99,63,18,28.86,NZ,1605494918
vanavara,60.34,102.28,0.88,92,15,7.2,RU,1605495165
date,42.47,140.87,47.23,60,94,20.4,JP,1605495166
karratha,-20.74,116.85,94.73,22,0,18.43,AU,1605495166
ravar,31.27,56.81,45.82,54,31,1.48,IR,1605495166
longyearbyen,78.22,15.64,19.4,62,75,24.16,SJ,1605495022
iwaki,37.05,140.88,66.99,71,75,9.17,JP,1605495166
leningradskiy,69.38,178.42,24.87,91,100,7.72,RU,1605495166
gorodishche,48.8,44.47,21.81,73,0,15.66,RU,1605495166
cangzhou,38.32,116.87,63.66,54,47,10.33,CN,1605494882
buenos aires,-34.61,-58.38,68.0,49,0,4.7,AR,1605494996
severo-kurilsk,50.68,156.12,37.47,80,100,12.17,RU,1605495166
sakiai,54.95,23.04,39.2,93,90,11.41,LT,1605495167
saint-pierre,-21.34,55.48,69.8,52,40,8.05,RE,1605495167
port macquarie,-31.43,152.92,95.0,43,22,1.99,AU,1605495167
bandundu,-3.32,17.37,70.75,98,100,3.53,CD,1605495167
cabra,37.47,-4.44,62.01,71,63,0.6,ES,1605495167
nuuk,64.18,-51.72,15.8,61,39,16.11,GL,1605495167
port lincoln,-34.73,135.87,64.9,52,0,15.3,AU,1605495167
yenagoa,4.92,6.26,75.76,93,100,3.65,NG,1605495167
la grande,45.32,-118.09,39.2,80,1,16.11,US,1605495018
sabang,5.89,95.32,82.24,80,77,16.08,ID,1605495167
noyabrsk,63.2,75.45,3.18,91,99,9.69,RU,1605495167
porto belo,-27.16,-48.55,73.99,94,40,5.82,BR,1605495168
bulolo,-7.2,146.65,89.26,39,100,5.23,PG,1605495168
corinto,37.94,22.96,57.99,63,0,1.1,GR,1605495068
isabela,6.71,121.97,87.8,74,40,9.17,PH,1605495168
saint anthony,45.02,-93.22,28.0,68,1,11.41,US,1605495168
prince rupert,54.32,-130.32,42.8,93,75,5.82,CA,1605495142
yar-sale,66.83,70.83,7.93,94,93,5.88,RU,1605495168
bageshwar,29.85,79.77,57.97,52,100,1.43,IN,1605495168
naze,28.37,129.48,78.8,65,20,12.75,JP,1605495168
lindi,-10.0,39.72,72.14,88,54,2.98,TZ,1605495003
poco verde,-10.71,-38.18,72.1,89,71,9.62,BR,1605495169
ossora,59.24,163.07,29.61,91,100,5.55,RU,1605495169
santa maria,-29.68,-53.81,73.4,88,75,5.82,BR,1605495169
lorengau,-2.02,147.27,84.79,75,100,10.71,PG,1605495169
beira,-19.84,34.84,68.0,88,20,3.36,MZ,1605495169
tezu,27.92,96.17,78.37,33,0,1.68,IN,1605495169
marawi,8.0,124.29,84.0,79,91,5.99,PH,1605495169
namatanai,-3.67,152.43,82.83,73,97,7.05,PG,1605495169
sungaipenuh,-2.08,101.38,79.52,65,75,1.74,ID,1605495053
telimele,10.92,-13.33,68.38,56,0,1.66,GN,1605495169
troitsko-pechorsk,62.71,56.2,18.72,97,94,3.65,RU,1605495169
shimanovsk,52.0,127.7,20.08,84,3,8.34,RU,1605495169
port hedland,-20.32,118.57,95.0,28,0,14.99,AU,1605495170
kamenka,51.32,42.77,21.0,76,100,3.0,RU,1605495170
puerto gaitan,4.31,-72.08,79.54,78,77,5.48,CO,1605495170
uglovskoye,51.36,80.19,21.69,80,0,14.88,RU,1605495170
ayagoz,47.97,80.44,22.53,96,95,5.3,KZ,1605495170
terenos,-20.44,-54.86,69.8,88,75,4.7,BR,1605495170
kraslava,55.9,27.17,32.07,97,38,9.37,LV,1605495170
lasa,46.62,10.7,44.01,79,100,2.55,IT,1605495170
sungairaya,0.7,108.9,89.96,56,2,0.6,ID,1605495170
le port,-20.94,55.29,71.6,49,0,5.82,RE,1605495171
muravlenko,63.79,74.52,3.54,91,99,11.7,RU,1605495171
kurkino,53.43,38.66,24.66,94,60,10.25,RU,1605495171
along,28.17,94.77,69.33,41,0,0.43,IN,1605495008
taywarah,33.35,64.42,23.07,70,0,2.19,AF,1605495171
caborca,30.58,-111.1,62.65,28,0,2.55,MX,1605495171
ayr,55.46,-4.63,51.8,81,75,21.92,GB,1605495171
hamilton,39.18,-84.53,48.2,49,90,12.75,US,1605494891
shimoda,34.67,138.95,71.6,53,75,12.75,JP,1605495171
asau,46.43,26.4,37.99,90,7,3.47,RO,1605495171
awbari,26.59,12.78,56.19,58,18,6.2,LY,1605495109
honiara,-9.43,159.95,86.0,84,75,17.22,SB,1605495172
horsham,51.06,-0.33,53.01,87,40,11.41,GB,1605495172
bentiu,9.23,29.83,71.69,33,0,4.05,SS,1605495172
qorveh,35.17,47.8,36.59,77,47,3.02,IR,1605495172
aksarka,66.56,67.8,12.18,94,95,7.23,RU,1605495172
gawler,-34.6,138.73,70.0,40,0,11.99,AU,1605495172
hofn,64.25,-15.21,37.81,76,99,20.54,IS,1605495173
tessalit,20.2,1.01,66.81,25,0,10.54,ML,1605495173
nome,64.5,-165.41,23.0,73,90,1.9,US,1605495173
saint-joseph,-21.37,55.62,69.8,52,40,8.05,RE,1605495173
arman,59.7,150.17,9.25,84,77,11.74,RU,1605495173
luderitz,-26.65,15.16,57.45,78,72,14.29,NA,1605495173
luganville,-15.53,167.17,82.99,70,100,9.62,VU,1605495166
kudahuvadhoo,2.67,72.89,80.92,83,100,17.94,MV,1605495173
santa rita do sapucai,-22.25,-45.7,64.92,89,4,1.03,BR,1605495173
port augusta,-32.5,137.77,71.01,52,0,17.22,AU,1605495173
irituia,-1.77,-47.44,74.48,94,99,3.04,BR,1605495174
rocha,-34.48,-54.33,55.4,93,10,6.44,UY,1605495174
nisia floresta,-6.09,-35.21,77.0,88,40,4.7,BR,1605495174
excelsior springs,39.34,-94.23,44.01,64,1,6.76,US,1605495174
parrita,9.52,-84.32,69.8,100,0,2.24,CR,1605495174
caloundra,-26.8,153.13,84.0,70,11,8.01,AU,1605494916
lieksa,63.32,30.02,33.19,92,98,14.58,FI,1605495174
mayo,38.89,-76.51,57.2,76,90,8.05,US,1605495174
hammerfest,70.66,23.68,41.0,75,0,13.87,NO,1605495174
eunice,30.49,-92.42,57.99,54,1,6.93,US,1605495174
narasannapeta,18.42,84.05,79.05,65,81,4.97,IN,1605495175
beloha,-25.17,45.05,65.93,69,0,12.73,MG,1605495175
orillia,44.61,-79.42,42.8,80,96,17.22,CA,1605494880
adrar,20.5,-10.07,73.72,24,88,11.5,MR,1605495175
flinders,-34.58,150.86,82.99,60,100,7.7,AU,1605495175
tocopilla,-22.09,-70.2,60.76,62,5,7.43,CL,1605495175
zaria,11.11,7.72,68.72,34,52,10.16,NG,1605495175
uruguaiana,-29.75,-57.09,73.4,64,0,10.38,BR,1605495175
te anau,-45.42,167.72,64.26,45,2,8.77,NZ,1605495175
kahului,20.89,-156.47,82.4,61,20,14.99,US,1605494999
praia da vitoria,38.73,-27.07,64.0,82,40,10.38,PT,1605495175
kloulklubed,7.04,134.26,77.0,94,90,6.93,PW,1605495176
kawalu,-7.38,108.21,86.79,62,40,3.11,ID,1605495176
